,year,month,day,irradiance
0,2020,8,1,4.57
1,2020,8,2,6.3
2,2020,8,3,4.96
3,2020,8,4,5.42
4,2020,8,5,3.24
5,2020,8,6,5.96
6,2020,8,7,5.17
7,2020,8,8,6.17
8,2020,8,9,3.88
9,2020,8,10,3.99
10,2020,8,11,3.76
11,2020,8,12,4.44
12,2020,8,13,1.3
13,2020,8,14,3.76
14,2020,8,15,4.84
15,2020,8,16,4.9
16,2020,8,17,4.19
17,2020,8,18,4.42
18,2020,8,19,0.93
19,2020,8,20,2.23
20,2020,8,21,5.76
21,2020,8,22,5.46
22,2020,8,23,4.78
23,2020,8,24,4.91
24,2020,8,25,4.43
25,2020,8,26,5.75
26,2020,8,27,5.05
27,2020,8,28,3.21
28,2020,8,29,5.08
29,2020,8,30,3.47
30,2020,8,31,5.23
31,2021,8,1,3.19
32,2021,8,2,3.69
33,2021,8,3,4.53
34,2021,8,4,5.36
35,2021,8,5,5.17
36,2021,8,6,4.8
37,2021,8,7,3.27
38,2021,8,8,2.7
39,2021,8,9,3.21
40,2021,8,10,5.98
41,2021,8,11,6.38
42,2021,8,12,6.21
43,2021,8,13,5.67
44,2021,8,14,6.46
45,2021,8,15,6.4
46,2021,8,16,6.43
47,2021,8,17,6.23
48,2021,8,18,5.83
49,2021,8,19,4.31
50,2021,8,20,1.92
51,2021,8,21,3.13
52,2021,8,22,4.19
53,2021,8,23,4.81
54,2021,8,24,3.79
55,2021,8,25,6.14
56,2021,8,26,5.47
57,2021,8,27,5.82
58,2021,8,28,4.34
59,2021,8,29,3.91
60,2021,8,30,4.67
61,2021,8,31,1.64
62,2019,8,1,5.08
63,2019,8,2,3.54
64,2019,8,3,3.52
65,2019,8,4,3.75
66,2019,8,5,4.34
67,2019,8,6,1.33
68,2019,8,7,4.06
69,2019,8,8,6.01
70,2019,8,9,4.78
71,2019,8,10,4.62
72,2019,8,11,5.91
73,2019,8,12,4.45
74,2019,8,13,3.55
75,2019,8,14,5.2
76,2019,8,15,5.15
77,2019,8,16,4.28
78,2019,8,17,2.62
79,2019,8,18,2.92
80,2019,8,19,5.54
81,2019,8,20,5.84
82,2019,8,21,6.07
83,2019,8,22,4.76
84,2019,8,23,5.67
85,2019,8,24,3.14
86,2019,8,25,3.25
87,2019,8,26,5.92
88,2019,8,27,5.97
89,2019,8,28,6.16
90,2019,8,29,5.44
91,2019,8,30,5.76
92,2019,8,31,5.41
93,2018,8,1,6.07
94,2018,8,2,5.33
95,2018,8,3,4.71
96,2018,8,4,4.3
97,2018,8,5,2.1
98,2018,8,6,2.5
99,2018,8,7,3.91
100,2018,8,8,5.17
101,2018,8,9,6.28
102,2018,8,10,5.55
103,2018,8,11,4.98
104,2018,8,12,3.19
105,2018,8,13,4.81
106,2018,8,14,4.87
107,2018,8,15,3.93
108,2018,8,16,5.28
109,2018,8,17,6.01
110,2018,8,18,5.23
111,2018,8,19,3.02
112,2018,8,20,4.12
113,2018,8,21,5.73
114,2018,8,22,4.15
115,2018,8,23,3.79
116,2018,8,24,3.09
117,2018,8,25,4.05
118,2018,8,26,5.33
119,2018,8,27,3.23
120,2018,8,28,3.77
121,2018,8,29,3.51
122,2018,8,30,4.52
123,2018,8,31,4.37
124,2017,8,1,3.56
125,2017,8,2,3.51
126,2017,8,3,4.48
127,2017,8,4,4.27
128,2017,8,5,4.36
129,2017,8,6,4.27
130,2017,8,7,2.78
131,2017,8,8,4.73
132,2017,8,9,3.51
133,2017,8,10,4.52
134,2017,8,11,5.29
135,2017,8,12,5.24
136,2017,8,13,5.25
137,2017,8,14,5.58
138,2017,8,15,5.86
139,2017,8,16,6.27
140,2017,8,17,6.16
141,2017,8,18,5.66
142,2017,8,19,1.18
143,2017,8,20,6.07
144,2017,8,21,5.77
145,2017,8,22,4.75
146,2017,8,23,3.31
147,2017,8,24,4.64
148,2017,8,25,4.71
149,2017,8,26,3.5
150,2017,8,27,6.04
151,2017,8,28,3.98
152,2017,8,29,4.69
153,2017,8,30,4.77
154,2017,8,31,3.06
155,2016,8,1,3.68
156,2016,8,2,5.08
157,2016,8,3,6.74
158,2016,8,4,6.68
159,2016,8,5,6.64
160,2016,8,6,3.46
161,2016,8,7,6.47
162,2016,8,8,5.82
163,2016,8,9,4.43
164,2016,8,10,4.15
165,2016,8,11,2.74
166,2016,8,12,3.45
167,2016,8,13,3.73
168,2016,8,14,3.35
169,2016,8,15,5.77
170,2016,8,16,6.13
171,2016,8,17,3.33
172,2016,8,18,3.64
173,2016,8,19,5.17
174,2016,8,20,5.95
175,2016,8,21,6.2
176,2016,8,22,5.92
177,2016,8,23,4.4
178,2016,8,24,3.63
179,2016,8,25,5.28
180,2016,8,26,4.76
181,2016,8,27,5.87
182,2016,8,28,5.11
183,2016,8,29,3.99
184,2016,8,30,3.76
185,2016,8,31,2.38
186,2015,8,1,3.62
187,2015,8,2,5.38
188,2015,8,3,6.44
189,2015,8,4,5.51
190,2015,8,5,4.15
191,2015,8,6,3.73
192,2015,8,7,3.12
193,2015,8,8,2.02
194,2015,8,9,3.05
195,2015,8,10,4.36
196,2015,8,11,2.49
197,2015,8,12,5.8
198,2015,8,13,5.54
199,2015,8,14,3.29
200,2015,8,15,2.93
201,2015,8,16,4.74
202,2015,8,17,5.02
203,2015,8,18,5.44
204,2015,8,19,6.23
205,2015,8,20,5.6
206,2015,8,21,4.51
207,2015,8,22,5.58
208,2015,8,23,5.51
209,2015,8,24,6.27
210,2015,8,25,6.74
211,2015,8,26,6.28
212,2015,8,27,6.26
213,2015,8,28,5.55
214,2015,8,29,6.45
215,2015,8,30,6.12
216,2015,8,31,6.44
217,2022,8,1,5.0
218,2022,8,2,5.78
219,2022,8,3,4.31
220,2022,8,4,3.73
221,2022,8,5,3.32
222,2022,8,6,3.64
223,2022,8,7,1.64
224,2022,8,8,5.86
225,2022,8,9,5.98
226,2022,8,10,6.49
227,2022,8,11,2.45
228,2022,8,12,6.39
229,2022,8,13,5.19
230,2022,8,14,3.17
231,2022,8,15,4.68
232,2022,8,16,3.67
233,2022,8,17,5.83
234,2022,8,18,6.36
235,2022,8,19,6.01
236,2022,8,20,3.78
237,2022,8,21,5.29
238,2022,8,22,5.08
239,2022,8,23,5.52
240,2022,8,24,4.24
241,2022,8,25,5.36
242,2022,8,26,5.59
243,2022,8,27,5.88
244,2022,8,28,5.71
245,2022,8,29,4.93
246,2022,8,30,4.72
247,2022,8,31,5.56
248,2008,8,1,5.04
249,2008,8,2,5.19
250,2008,8,3,4.5
251,2008,8,4,4.27
252,2008,8,5,3.01
253,2008,8,6,4.63
254,2008,8,7,4.32
255,2008,8,8,1.87
256,2008,8,9,5.91
257,2008,8,10,4.74
258,2008,8,11,6.08
259,2008,8,12,3.45
260,2008,8,13,3.51
261,2008,8,14,3.26
